R_Abundance (%)	Reads	superfamily	phylum	class	order	family	genus	species
0.002	224	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter mucosalis
0.001	172	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
0.001	72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
0.005	642	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
0.004	550	Eukaryota	-	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium microadriaticum
0.001	98	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella	Dunaliella salina
0.001	76	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri
0.001	128	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	Auxenochlorella pyrenoidosa
0.004	594	Eukaryota	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella	Physcomitrella patens
0.08900000000000001	12104	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus lambertiana
0.071	9658	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus taeda
0.01	1306	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Cannabis	Cannabis sativa
0.011000000000000001	1436	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Humulus	Humulus lupulus
0.005	620	Eukaryota	Streptophyta	-	Rosales	Moraceae	Ficus	Ficus carica
0.003	402	Eukaryota	Streptophyta	-	Caryophyllales	Chenopodiaceae	Spinacia	Spinacia oleracea
0.002	336	Eukaryota	Streptophyta	-	Caryophyllales	Caryophyllaceae	Dianthus	Dianthus caryophyllus
1.454	198450	Eukaryota	Streptophyta	-	Vitales	Vitaceae	Vitis	Vitis aestivalis
0.004	606	Eukaryota	Streptophyta	-	Caryophyllales	Polygonaceae	Fagopyrum	Fagopyrum esculentum
0.01	1338	Eukaryota	Streptophyta	-	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis
